Exploratory,EP,Ta_2_ann,P_ann,soil_type,slope,aspect,elevation,type,mixture,N,DBH_sd,h_sd,SCI,CEA,BA,SDI,h,con_BA,age_MTS,H,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,VH_desc_year,VH_asc_year,VH_desc_winter,VH_asc_winter,VV_desc_year,VV_asc_year,VV_desc_winter,VV_asc_winter,S1_ndi_mean,S1_ndi_std,EVI_mean,EVI_std,EVI_contrast,EVI_diss,EVI_entr,EVI_idm,EVI_var,S1_contrast,S1_diss,S1_entr,S1_idm,S1_var,Q
SCH,SEW19,9.399473,607.51,Cambisol,2.14,52.38,63.83,Pine_AC_immature_timber,pure,4,5.6869,1.38873015,2.0572,1.2216,22.9736,414.2007,25.25,99.6949,107,0.114769145,172.4981286,349.8140546,253.0728905,662.6186336,1763.092244,2026.256029,2240.159947,2271.899465,1459.818413,790.7786043,-15.34408719,-14.88329981,-15.93703734,-15.89651386,-10.5224002,-10.32448386,-11.04481693,-10.912068,0.178192259,0.027836187,0.399195853,0.035426051,3.97779304,1.479166667,1.820075975,0.486833836,1.82373133,5.645833333,1.9375,2.036684469,0.372855392,2.65674992,0.221020869
SCH,SEW20,8.597084,614.98,Regosol,0.76,326.57,65.11,Pine_AC_immature_timber,pure,3,8.7604,1.130388331,2.6301,1.3143,24.93,438.3825,28.56,99.5459,107,0.247687704,163.4404742,342.1648479,216.9969831,645.093926,1628.804582,1884.806444,2001.624225,2078.693638,1160.75452,640.8923799,-15.23092402,-15.2559829,-15.64620782,-15.98730453,-10.41298173,-10.59785613,-10.49694689,-11.05277234,0.191798285,0.025194055,0.369344762,0.035647952,4.0625,1.520833333,1.820075975,0.46380719,1.976616526,5.827226217,1.958333333,2.065565602,0.361716909,2.792679398,0.228357453
SCH,SEW21,9.278416,657.1,Cambisol,0.55,270.61,66.34,Pine_AC_mature_timber,pure,5,10.2445,0.866025404,3.12,1.1642,30.6959,525.3437,32.67,90.728,83,0.835353919,265.0757651,436.0434385,313.6767457,662.6372249,1849.656053,2225.343044,2351.12838,2451.422798,1350.798063,658.5906404,-15.06684795,-15.25055427,-15.28695693,-16.45190217,-10.15296961,-12.36326013,-10.36493038,-31.19937919,0.190874174,0.029639132,0.407893051,0.036000129,9.321345438,2.375,1.907688076,0.361801194,4.228656528,7.479166667,2.208333333,2.108887301,0.329289216,3.394218237,0.583793273
SCH,SEW22,8.59764,525.13,Cambisol,4.85,213.54,57.13,Oak_AC_immature_timber,mixed,2,8.2923,2.420973174,2.0162,1.32,18.0835,298.5796,24.89,0,104,0.540204142,155.5404412,347.3776835,182.4352066,701.5184651,2757.922227,3453.986157,3601.326698,3719.15122,1682.961474,731.1838826,-14.880565,-14.82296787,-14.11826285,-14.85161304,-8.775233654,-8.806912647,-8.33116871,-8.936773063,0.264116233,0.047530253,0.627163461,0.03781086,18.39858129,3.566987179,2.051125036,0.263024239,9.551597023,9.851302363,2.568193998,2.094446734,0.303206021,4.812934028,0.555646725
SCH,SEW23,8.22369,625.23,Cambisol,2.02,110.1,74.36,Oak_AC_mature_timber,mixed,5,16.0255,1.394433378,6.6477,1.0532,32.4417,553.8406,28.22,0,125,1.031484222,161.1606803,369.9422839,160.6263549,702.5359418,2638.812007,3184.160229,3271.747991,3456.643244,1516.236997,611.1124251,-14.08885431,-17.746835,-13.29661894,-16.50559241,-8.728973153,-48.46739068,-8.561464311,-30.5455176,0.216287518,0.033444839,0.595899052,0.038484449,13.75,2.9375,1.993362771,0.329788518,7.307074653,8.925840979,2.520833333,2.152208999,0.298391152,4.442853009,0.550574121
SCH,SEW24,9.108428,601.95,Cambisol,5.18,307.8,65.09,Oak_AC_mature_timber,mixed,3,16.0043,0,6.0705,1.114,30.1524,505.0471,19,0,126,0.994007588,165.0840556,492.2503858,173.1492105,949.0407693,2732.290752,3200.804416,3194.717084,3422.30818,1636.426071,762.4783094,-14.89178846,-14.09283951,-14.13569309,-13.53715299,-9.204050411,-8.500368997,-8.942948713,-8.274702717,0.220223424,0.034407,0.581112126,0.042356362,22.58883954,3.916666667,2.036684469,0.240477558,10.61914063,8.340694188,2.3125,2.137768433,0.319166565,3.674623843,0.441628482
SCH,SEW25,9.46514,612.6,Cambisol,0.64,286.81,72.99,Oak_AC_immature_timber,pure,2,12.1981,1.364225462,4.0487,1.1152,28.8333,524.361,25.11,0,127,0.682709558,277.8962278,487.3652939,312.0959055,856.0762031,2108.103571,2437.284447,2565.692131,2701.3552,1586.909758,774.8144089,-14.87448283,-16.01072569,-14.05914734,-15.83414964,-9.288353635,-48.4840117,-9.031919414,-30.49778956,0.219969186,0.026946425,0.453777482,0.043983805,7.3125,2.005639597,1.909753684,0.388398693,3.590508207,7.075164165,2.104166667,2.051125036,0.366025423,3.401462557,0.87822766
SCH,SEW26,10.08899,657.1,Cambisol,0.53,243.4,67.26,Oak_AC_mature_timber,pure,4,18.2608,1.130388331,4.724,1.1899,30.5011,465.1036,33.56,1.7402,127,0.73030874,319.3394136,435.3111865,297.0373357,737.9596281,2114.619954,2606.681247,2731.006713,2841.330708,1297.725888,544.974643,-15.14229898,-15.93646558,-14.53455671,-15.58706323,-9.595372143,-12.6849549,-9.100273161,-30.70789007,0.227987088,0.034849388,0.508240514,0.044419989,10.76226636,2.511085627,1.957120198,0.350013042,5.122974537,11.4068437,2.75,2.137768433,0.298574573,5.784170536,1.079320687
SCH,SEW27,9.326048,605.44,Cambisol,1.76,236.17,83.28,Oak_AC_mature_timber,mixed,5,18.5067,0,6.6039,1.0636,33.7088,541.0818,19,0,139,0.853373883,256.5723287,485.8039255,215.3173237,726.4203362,2836.957844,3425.797767,3401.604927,3567.817716,1523.668577,685.5523444,-14.76938258,-13.89858324,-14.36262149,-13.70945643,-9.184372698,-8.24412448,-9.180340937,-8.310244214,0.220478656,0.027836411,0.620637211,0.044674548,21.23611111,3.694444444,2.051125036,0.255670877,10.32112942,9.0625,2.479166667,2.108887301,0.314664376,4.58666088,0.43726237
SCH,SEW28,9.277459,629.73,Cambisol,0.96,58.04,62.43,Oak_AC_mature_timber,pure,3,17.1796,0,4.052,1.1857,28.5099,440.025,19,0,115,0.532774858,91.42894543,330.0363424,77.39781517,670.1431801,2414.880905,2730.735821,2793.979984,2975.583645,1391.83797,548.8049837,-14.64896624,-14.37259069,-13.87357645,-13.91390921,-9.192658315,-9.314097268,-8.927217672,-9.28087734,0.216227238,0.024940295,0.539540334,0.045396825,6.45823991,2.011498918,1.993362771,0.36938442,3.196108709,7.3125,2.125,2.080006168,0.353515928,3.546223958,0.416761366
